,station,lon,lat
0,QCC,71.1167,34.85
1,QSA,69.2667,34.95
2,QQS,68.85,34.3667
3,QML,67.2,36.7
4,QSP,66.9667,36.65
5,QLD,68.9,33.65
6,QZ4,63.43,32.15
7,QEB,64.7,32.4
8,OAFZ,70.5184,37.1195
9,QAR,62.1667,32.35
10,QYL,66.8,32.65
11,QCN,70.1667,34.25
12,QXT,64.0667,31.1
13,QPD,65.8333,31.85
14,QQR,70.3667,34.95
15,QLY,68.9,36.6667
16,QDP,69.6333,34.85
17,QWL,65.4167,31.5833
18,QDX,64.95,31.6333
19,QA4,62.25,33.4
20,QSB,66.4,31.0
21,QB6,69.4,33.35
22,QYK,69.45,32.9167
23,QTD,63.3,35.6
24,QOW,71.05,34.1167
25,QYU,62.2167,34.1
26,QC3,67.6333,32.7167
27,QSD,67.0167,31.95
28,QOX,69.2167,33.6
29,QRY,68.0,33.0
30,OAHR,62.2283,34.21
31,QBR,69.7,33.9167
32,OAJL,70.4667,34.4333
33,QL5,70.05,34.4
34,OAIX,69.265,34.9463
35,OAKB,69.2124,34.5658
36,OAKN,65.8478,31.5058
37,QKG,68.7833,35.8667
38,OAUZ,68.9108,36.6651
39,QMH,64.75,35.9167
40,OAMS,67.2097,36.7069
41,QM1,70.2,34.65
42,QVE,71.5,35.25
43,QDM,69.15,32.9167
44,QD2,69.45,35.25
45,QLT,66.9,32.1
46,QQN,63.0,34.9667
47,QD9,69.9667,33.3667
48,QSR,68.8167,33.1167
49,QIU,69.2,32.5167
50,QA7,65.85,32.6
51,QCJ,68.35,32.2
52,EET,-86.78,33.18
53,8A0,-86.2558,34.2291
54,ALX,-85.963,32.9147
55,79J,-86.3938,31.3088
56,ANB,-85.8581,33.5882
57,AUO,-85.434,32.6151
58,AUB,-85.5,32.6
59,1R8,-87.8193,30.8703
60,EKY,-86.9263,33.3126
61,BHM,-86.7449,33.5655
62,OZR,-85.7134,31.2758
63,9A4,-87.3488,34.6594
64,CMD,-86.858,34.2687
65,3A1,-86.86,34.27
66,DCU,-86.9453,34.6525
67,DYA,-87.9541,32.4638
68,DHN,-85.45,31.32
69,EDN,-85.9048,31.2982
70,EUF,-85.1289,31.9513
71,GZH,-87.0441,31.4158
72,CQF,-87.877,30.4605
73,4R4,-87.877,30.4605
74,0J4,-86.3116,31.0425
75,NBJ,-87.6353,30.3891
76,4A9,-85.7214,34.4737
77,HEY,-85.6543,31.346
78,GAD,-86.0891,33.9726
79,PRN,-86.6108,31.8457
80,JKA,-87.6718,30.2905
81,1M4,-87.6004,34.2803
82,0J6,-85.3117,31.3641
83,HSV,-86.7861,34.6439
84,MDQ,-86.56,34.86
85,LOR,-85.7511,31.3558
86,JFX,-87.3142,33.902
87,A08,-87.3848,32.5105
88,MXF,-86.3658,32.3829
89,MOB,-88.2456,30.6883
90,BFM,-88.0681,30.6268
91,MGM,-86.394,32.3006
92,MSL,-87.5996,34.7438
93,PLR,-86.2491,33.5588
94,RAM,-88.0833,29.05
95,1A9,-86.5127,32.4387
96,HUA,-86.6848,34.6786
97,4A6,-86.0059,34.6887
98,SEM,-86.9878,32.3439
99,SXS,-85.8549,31.3612
100,SCD,-86.3055,33.1718
101,ASN,-86.0512,33.5695
102,TOI,-86.0121,31.8604
103,TCL,-87.6161,33.2119
104,PADK,-176.646,51.878
105,PAKH,-154.18,56.94
106,PAUT,-165.6041,54.1446
107,PALP,-150.9447,70.3443
108,PAFM,-157.8575,67.1063
109,PAKP,-151.7433,68.1336
110,PANC,-150.0261,61.1697
111,PAGN,-134.5851,57.5036
112,PANI,-159.543,61.5816
113,PANT,-131.5722,55.0424
114,PANV,-160.1901,62.6473
115,PARC,-145.5794,68.1147
116,PAAK,-174.2062,52.2206
117,PATQ,-157.4357,70.4673
118,PABR,-156.7922,71.2826
119,PABA,-143.5819,70.134
120,PABE,-161.8264,60.7858
121,PABT,-151.5189,66.9165
122,PALV,-152.302,60.816
123,PABV,-149.5072,61.4164
124,PFKT,-166.4657,65.3313
125,PABL,-161.1491,65.9816
126,PATW,-148.9556,63.3912
127,PALU,-166.1333,68.8833
128,PAEH,-162.0628,58.6464
129,PACZ,-166.0388,61.7803
130,PACE,-144.7809,65.5739
131,PARL,-144.7765,65.571
132,PALR,-148.4832,67.5045
133,PAVA,-165.6009,61.5408
134,PAJC,-158.3732,56.3115
135,PAEC,-149.8333,62.8833
136,PFCL,-158.5294,58.8337
137,PACD,-162.7323,55.2207
138,PACV,-145.4511,60.4889
139,PASC,-148.4652,70.1948
140,PADE,-162.7664,66.0696
141,PADL,-158.5055,59.0447
142,PADU,-166.5435,53.9001
143,PAEG,-141.1496,64.7781
144,PAII,-157.3856,58.1853
145,PAEI,-147.1015,64.6657
146,PAEL,-136.3474,58.1952
147,PFEL,-162.2705,64.615
148,PAED,-149.8065,61.2514
149,PAEM,-164.4908,62.7861
150,PAZK,-147.169,61.937
151,PAFA,-147.8761,64.8039
152,PAKF,-163.4103,54.8474
153,PAFL,-153.6111,62.5316
154,PAFK,-153.6225,62.5425
155,PFYU,-145.2667,66.5667
156,PABI,-145.7183,63.995
157,PAFR,-149.6531,61.2664
158,PAGB,-149.4899,68.4797
159,PAGA,-156.9374,64.7362
160,PAGM,-171.7328,63.7668
161,PAGL,-163.0394,64.5433
162,PAGK,-145.457,62.1602
163,PAGS,-135.7074,58.4253
164,PAHN,-135.5117,59.2429
165,PAHZ,-152.086,61.983
166,PAHV,-148.9689,63.8661
167,PAHC,-159.7749,62.1883
168,PAHO,-151.4766,59.6456
169,PAOH,-135.4519,58.1122
170,PAHP,-166.1466,61.5239
171,PAHL,-156.3514,65.6979
172,PAHS,-156.3833,65.7
173,PAHY,-132.8281,55.2061
174,PAIG,-155.9018,59.324
175,PAIL,-154.9092,59.7492
176,PAIM,-153.7038,65.9928
177,PAJN,-134.5763,58.355
178,PAFE,-133.9103,56.9614
179,PALG,-160.3413,61.5363
180,PAKV,-158.7413,64.319
181,PAEN,-151.2391,60.5797
182,PAKT,-131.7117,55.3567
183,PAIK,-160.4365,66.976
184,PAVC,-162.2662,55.1164
185,PAKN,-156.6539,58.6836
186,PAKI,-164.03,59.93
187,PAVL,-164.5483,67.7317
188,PAKW,-133.076,55.5792
189,PADQ,-152.4939,57.75
190,PAJZ,-157.2595,59.7266
191,PAOT,-162.6068,66.8857
192,PAKK,-161.1543,64.9395
193,PAKU,-149.5975,70.3308
194,PFKW,-161.4437,60.7903
195,PALH,-149.9651,61.1786
196,PAML,-150.6441,64.9976
197,PAMB,-159.05,58.9833
198,PADM,-162.0261,61.8643
199,PAMX,-142.9333,61.4333
200,PAMC,-155.607,62.9528
201,PAIN,-148.9106,63.7326
202,PAMY,-166.27,60.37
203,PAMR,-149.8573,61.2163
204,PAER,-153.82,61.25
205,PAMM,-131.5762,55.1308
206,PAMD,-146.338,59.432
207,PAMH,-152.3019,63.886
208,PAMO,-163.6819,62.0953
209,PABN,-142.9953,62.4017
210,PANA,-161.9785,60.6903
