,station,lon,lat
0,PADK,-176.646,51.878
1,PAKH,-154.18,56.94
2,PAUT,-165.6041,54.1446
3,PALP,-150.9447,70.3443
4,PAFM,-157.8575,67.1063
5,PAKP,-151.7433,68.1336
6,PANC,-150.0261,61.1697
7,PAGN,-134.5851,57.5036
8,PANI,-159.543,61.5816
9,PANT,-131.5722,55.0424
10,PANV,-160.1901,62.6473
11,PARC,-145.5794,68.1147
12,PAAK,-174.2062,52.2206
13,PATQ,-157.4357,70.4673
14,PABR,-156.7922,71.2826
15,PABA,-143.5819,70.134
16,PABE,-161.8264,60.7858
17,PABT,-151.5189,66.9165
18,PALV,-152.302,60.816
19,PABV,-149.5072,61.4164
20,PFKT,-166.4657,65.3313
21,PABL,-161.1491,65.9816
22,PATW,-148.9556,63.3912
23,PALU,-166.1333,68.8833
24,PAEH,-162.0628,58.6464
25,PACZ,-166.0388,61.7803
26,PACE,-144.7809,65.5739
27,PARL,-144.7765,65.571
28,PALR,-148.4832,67.5045
29,PAVA,-165.6009,61.5408
30,PAJC,-158.3732,56.3115
31,PAEC,-149.8333,62.8833
32,PFCL,-158.5294,58.8337
33,PACD,-162.7323,55.2207
34,PACV,-145.4511,60.4889
35,PASC,-148.4652,70.1948
36,PADE,-162.7664,66.0696
37,PADL,-158.5055,59.0447
38,PADU,-166.5435,53.9001
39,PAEG,-141.1496,64.7781
40,PAII,-157.3856,58.1853
41,PAEI,-147.1015,64.6657
42,PAEL,-136.3474,58.1952
43,PFEL,-162.2705,64.615
44,PAED,-149.8065,61.2514
45,PAEM,-164.4908,62.7861
46,PAZK,-147.169,61.937
47,PAFA,-147.8761,64.8039
48,PAKF,-163.4103,54.8474
49,PAFL,-153.6111,62.5316
50,PAFK,-153.6225,62.5425
51,PFYU,-145.2667,66.5667
52,PABI,-145.7183,63.995
53,PAFR,-149.6531,61.2664
54,PAGB,-149.4899,68.4797
55,PAGA,-156.9374,64.7362
56,PAGM,-171.7328,63.7668
57,PAGL,-163.0394,64.5433
58,PAGK,-145.457,62.1602
59,PAGS,-135.7074,58.4253
60,PAHN,-135.5117,59.2429
61,PAHZ,-152.086,61.983
62,PAHV,-148.9689,63.8661
63,PAHC,-159.7749,62.1883
64,PAHO,-151.4766,59.6456
65,PAOH,-135.4519,58.1122
66,PAHP,-166.1466,61.5239
67,PAHL,-156.3514,65.6979
68,PAHS,-156.3833,65.7
69,PAHY,-132.8281,55.2061
70,PAIG,-155.9018,59.324
71,PAIL,-154.9092,59.7492
72,PAIM,-153.7038,65.9928
73,PAJN,-134.5763,58.355
74,PAFE,-133.9103,56.9614
75,PALG,-160.3413,61.5363
76,PAKV,-158.7413,64.319
77,PAEN,-151.2391,60.5797
78,PAKT,-131.7117,55.3567
79,PAIK,-160.4365,66.976
80,PAVC,-162.2662,55.1164
81,PAKN,-156.6539,58.6836
82,PAKI,-164.03,59.93
83,PAVL,-164.5483,67.7317
84,PAKW,-133.076,55.5792
85,PADQ,-152.4939,57.75
86,PAJZ,-157.2595,59.7266
87,PAOT,-162.6068,66.8857
88,PAKK,-161.1543,64.9395
89,PAKU,-149.5975,70.3308
90,PFKW,-161.4437,60.7903
91,PALH,-149.9651,61.1786
92,PAML,-150.6441,64.9976
93,PAMB,-159.05,58.9833
94,PADM,-162.0261,61.8643
95,PAMX,-142.9333,61.4333
96,PAMC,-155.607,62.9528
97,PAIN,-148.9106,63.7326
98,PAMY,-166.27,60.37
99,PAMR,-149.8573,61.2163
100,PAER,-153.82,61.25
101,PAMM,-131.5762,55.1308
102,PAMD,-146.338,59.432
103,PAMH,-152.3019,63.886
104,PAMO,-163.6819,62.0953
105,PABN,-142.9953,62.4017
106,PANA,-161.9785,60.6903
107,PAOU,-161.16,56.01
108,PANN,-149.074,64.5473
109,PANW,-157.33,59.45
110,PAFS,-154.36,63.02
111,PAWN,-162.975,67.5661
112,PAOM,-165.4452,64.5122
113,PFNO,-161.0222,66.8175
114,PAOR,-141.9292,62.9614
115,PFNU,-150.2535,70.4954
116,PAQT,-151.0056,70.21
117,PPNU,-150.0186,70.4141
118,PPIT,-162.4406,60.906
119,PAAQ,-149.0887,61.5949
120,PAXK,-145.5006,63.0246
121,PAPG,-132.9501,56.7999
122,PAPN,-157.57,57.58
123,PAPM,-161.82,59.01
124,PAPO,-166.8,68.35
125,PPIZ,-163.0053,69.7329
126,PAAD,-146.2901,70.136
127,PATO,-148.8389,60.785
128,PAAP,-134.6482,56.2468
129,PALJ,-154.319,60.204
130,PAPC,-166.8585,65.2537
131,PAPH,-158.6334,56.9591
132,PAPR,-150.6436,66.8141
133,PAPT,-152.75,62.1
134,PAQH,-161.8454,59.7551
135,PADG,-162.8992,68.0321
136,PARD,-162.9031,68.0314
137,PARY,-155.47,64.73
138,PARS,-161.3194,61.7749
139,PASM,-163.3018,62.0608
140,PASN,-170.2222,57.1553
141,PASD,-160.5214,55.3137
142,PASA,-170.4926,63.6864
143,PACM,-165.5738,61.8445
144,PASK,-159.9858,66.6001
145,PASO,-151.704,59.4424
146,PAWD,-149.4186,60.1269
147,PAHX,-159.5692,62.6923
148,PFSH,-161.224,64.3711
149,PASP,-147.5044,61.8122
150,PASY,174.1169,52.7141
151,PASH,-166.0894,66.2496
152,PAGH,-157.1624,66.8881
153,PASI,-135.3616,57.0471
154,PAGY,-135.3277,59.4538
155,PASW,-151.1914,61.9653
156,PADT,-143.9811,62.7089
157,PASL,-157.15,61.7167
158,PALK,-142.6667,62.0333
159,PASX,-151.0342,60.4758
160,PFWS,-157.0026,58.7021
161,PASV,-155.5748,61.0972
162,PAPB,-169.6631,56.5769
163,PAMK,-162.11,63.49
164,PAJV,-148.8833,61.7167
165,PATK,-150.095,62.32
166,PATA,-152.1069,65.1744
167,PATL,-155.9765,62.8944
168,PATE,-166.3393,65.2404
169,PATC,-167.9225,65.564
170,PATG,-160.3969,59.0536
171,PAOO,-165.0872,60.5413
172,PAUM,-152.135,69.3711
173,PAUN,-160.7991,63.8885
174,PAVW,-146.35,61.1333
175,PAVD,-146.248,61.134
